"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Bulti D.T.; Eshete A.L.","Bulti, Dejene Tesema (57216872922); Eshete, Anteneh Lemmi (60586804100)","57216872922; 60586804100","Bridging policy and space: A GIS-AHP framework for sustainable industrial land-use governance in secondary cities—evidence from Adama, Ethiopia","2026","Land Use Policy","167","","108066","","","0","10.1016/j.landusepol.2026.108066","https://www.scopus.com/pages/publications/105036059625?origin=resultslist","Article","Final","","Scopus","2-s2.0-105036059625"
"Aliyah I.; Sugiarti R.; Werdinityas R.; Taukida A.; Firzatullah F.E.; Amrulloh R.","Aliyah, Istijabatul (57194500146); Sugiarti, Rara (57190402739); Werdinityas, Ratri (60785105300); Taukida, Arzaq (60785787300); Firzatullah, Fausta Ezra (60785299400); Amrulloh, Reyza (60785396500)","57194500146; 57190402739; 60785105300; 60785787300; 60785299400; 60785396500","EMBEDDING CREATIVE COMMUNITIES IN URBAN TOURISM PLANNING: TOWARD A SMART CULTURE ECOSYSTEM FOR SUSTAINABLE CITY DEVELOPMENT IN SURAKARTA, INDONESIA","2026","Journal of Environmental Science and Sustainable Development","9","1","","348","370","1","10.7454/jessd.v9i1.1477","https://www.scopus.com/pages/publications/105047073740?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105047073740"
"Liu Q.; Xu N.; Li K.; Wang Q.; Fan L.; Wan Y.; Hu X.; Huang Z.","Liu, Qiao (57200647211); Xu, Nong (16837425500); Li, Kaiming (59233084200); Wang, Qing (57212048720); Fan, Long (35324312800); Wan, Yinhua (7402417332); Hu, Xiang (60478801000); Huang, Zhifeng (57194636683)","57200647211; 16837425500; 59233084200; 57212048720; 35324312800; 7402417332; 60478801000; 57194636683","Pore engineering and charge attenuation for covalent organic framework membranes: A new approach to high-performance molecular–ion separation","2026","Water Research","297","","125738","","","3","10.1016/j.watres.2026.125738","https://www.scopus.com/pages/publications/105032514097?origin=resultslist","Article","Final","","Scopus","2-s2.0-105032514097"
"Hong B.; Sun Z.; Wu Z.; Meng Y.; Chen Z.; Chen X.; Wang W.; Liu D.","Hong, Bingyuan (57203901613); Sun, Zhongjian (60684993700); Wu, Zenan (60684779800); Meng, Yu (60684683100); Chen, Zhiwei (57218199509); Chen, Xianlei (57205078118); Wang, Weiqiang (35206645600); Liu, Daiwei (57200686748)","57203901613; 60684993700; 60684779800; 60684683100; 57218199509; 57205078118; 35206645600; 57200686748","Advances in Electrofusion Welding Technology for Polymeric Pipelines: From Process Optimization to Mechanism-Driven Control","2026","Polymers","18","11","1402","","","0","10.3390/polym18111402","https://www.scopus.com/pages/publications/105041384388?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105041384388"
"Joy N.S.; Rahman M.M.","Joy, Nafew Sajed (59733693800); Rahman, Md. Mahfuzur (59039882200)","59733693800; 59039882200","Sustainable Development in the Printing Industry of Bangladesh: A Qualitative Assessment of Gender Equality, Decent Work, and Hygiene Standards","2026","Journal of Developing Societies","42","1","","132","163","1","10.1177/0169796X251371355","https://www.scopus.com/pages/publications/105016624431?origin=resultslist","Article","Final","","Scopus","2-s2.0-105016624431"
"Ogunbode T.O.","Ogunbode, Timothy O. (57192102538)","57192102538","The State of SDG 6 in Nigeria (2016-2024): A Critical Review of Progress and Future Strategies","2026","Environmental Health Insights","20","","11786302261417003","","","0","10.1177/11786302261417003","https://www.scopus.com/pages/publications/105040151111?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105040151111"
"Wada O.Z.; Ige A.O.; Egbewole B.I.; Olawade D.B.","Wada, Ojima Z. (57223679195); Ige, Abimbola O. (58891268100); Egbewole, Bamise I. (57966872000); Olawade, David B. (57219597340)","57223679195; 58891268100; 57966872000; 57219597340","Circular economy from wastewater resource recovery: A review of recent advances and global disparities","2026","Sustainable Chemistry One World","9","","100187","","","10","10.1016/j.scowo.2026.100187","https://www.scopus.com/pages/publications/105028040239?origin=resultslist","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105028040239"
"Rojas C.; Riascos-Ochoa J.; Clerici N.; Longo-Sánchez M.C.","Rojas, Cesar (59420791000); Riascos-Ochoa, Javier (55386887000); Clerici, Nicola (8721963900); Longo-Sánchez, Magnolia Constanza (60577971900)","59420791000; 55386887000; 8721963900; 60577971900","Integrating local perceptions and Bayesian belief networks into model ecosystem services multifunctionality in the Colombian Andes","2026","Modeling Earth Systems and Environment","12","3","136","","","0","10.1007/s40808-026-02735-6","https://www.scopus.com/pages/publications/105035617005?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105035617005"
"Tang L.; Li Y.; Dong M.; Li J.; Ji W.; Zhang S.; Nian P.; Wei Y.","Tang, Lili (59418701000); Li, Yanan (57202364564); Dong, Mengyao (60657902000); Li, Junzhi (59790000100); Ji, Wenlan (57208829790); Zhang, Shihao (59170209200); Nian, Pei (56140641800); Wei, Yibin (56599424900)","59418701000; 57202364564; 60657902000; 59790000100; 57208829790; 59170209200; 56140641800; 56599424900","Constructing tea polyphenol-trimesoyl chloride-induced 3D phenolic ester cross-linked networks into MXene membranes for superior cation separation","2026","Journal of Membrane Science","755","","125738","","","1","10.1016/j.memsci.2026.125738","https://www.scopus.com/pages/publications/105040592260?origin=resultslist","Article","Final","","Scopus","2-s2.0-105040592260"
"Lenka A.K.; Chanchal R.; Sheemar V.","Lenka, Ajit Kumar (57193989050); Chanchal, Rajshree (58244356400); Sheemar, Vikas (60634636300)","57193989050; 58244356400; 60634636300","Urban India’s water supply woes: A review of policies and provisioning","2026","Humanities and Social Sciences: A Multidisciplinary Approach","","","","666","676","0","10.1201/9781003771937-102","https://www.scopus.com/pages/publications/105039036228?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105039036228"
"Hossain H.; Muktadir M.A.; Binte Sayeed S.S.; Ahmed S.; Ali M.H.; Brishty K.A.; Chowdhury M.S.R.; Rahman M.M.","Hossain, Hemayet (56278087600); Muktadir, Md. Al (60606760400); Binte Sayeed, Snigdha Sharmin (60428683100); Ahmed, Sojib (60449259200); Ali, Md. Hasan (60512487900); Brishty, Khadiza Akter (59548494500); Chowdhury, Md. Shahidur Rahman (57213266814); Rahman, Md. Mahfujur (57225857401)","56278087600; 60606760400; 60428683100; 60449259200; 60512487900; 59548494500; 57213266814; 57225857401","Scabies Outbreak in Pediatric Populations of Bangladesh: A Perspective on Therapeutic Management, Risk Factors, and Public Health Implications","2026","Health Science Reports","9","5","e72450","","","0","10.1002/hsr2.72450","https://www.scopus.com/pages/publications/105037402712?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105037402712"
"Badakshi F.; Zahid K.","Badakshi, Farah (51664490700); Zahid, Kiran (60782390900)","51664490700; 60782390900","Bacteriophage cocktails and bacterial coevolution: a systematic review of resistance prevention strategies against multidrug-resistant pathogens in sewage water","2026","Iranian Journal of Microbiology","18","4","","460","472","0","10.18502/ijm.v18i4.22189","https://www.scopus.com/pages/publications/105046885437?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105046885437"
"Alejo K.G.; Villanueva-Peyraube J.D.; Faustino-Eslava D.V.; Cui L.E.","Alejo, Kennethjer G. (57210409967); Villanueva-Peyraube, Jessica D. (58069587000); Faustino-Eslava, Decibel V. (57201114254); Cui, Loucel E. (57218139922)","57210409967; 58069587000; 57201114254; 57218139922","Access to sustainable water supply: Community insights and economic valuation for the conservation of Viray watershed in the Philippines","2026","Cleaner Water","6","","100246","","","0","10.1016/j.clwat.2026.100246","https://www.scopus.com/pages/publications/105033669504?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105033669504"
"Nayak B.; Panda P.K.","Nayak, Bhaktishree (59157080900); Panda, Prafulla Kumar (54399112000)","59157080900; 54399112000","A Comprehensive Review of Water Quality Analysis","2026","International Journal of Image and Graphics","26","4","2650033","","","6","10.1142/S0219467826500336","https://www.scopus.com/pages/publications/85209078416?origin=resultslist","Review","Final","","Scopus","2-s2.0-85209078416"
"Ahmed S.; Al-Meer S.; Ben Ali A.; Nasser M.S.; Hussein I.A.","Ahmed, Somaya (57220888469); Al-Meer, Saeed (57192994732); Ben Ali, Ahmed (58205030300); Nasser, Mustafa S. (14047243100); Hussein, Ibnelwaleed A. (7006902814)","57220888469; 57192994732; 58205030300; 14047243100; 7006902814","Clay-Based Technologies for Produced Water Treatment: A Bibliometric Analysis of Global Trends and SDG Contributions (1996–2025)","2026","ACS Omega","11","25","","36568","36584","0","10.1021/acsomega.5c10571","https://www.scopus.com/pages/publications/105043514007?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105043514007"
"Murebwayire M.L.; Nilsson E.; Wali U.G.; Nhapi I.","Murebwayire, Marie Leonce (60101850300); Nilsson, Erik (57207891605); Wali, Umaru Garba (34969762500); Nhapi, Innocent (6602713629)","60101850300; 57207891605; 34969762500; 6602713629","A compliance assessment tool for household pit latrines and cesspits against RS ISO 24521: evidence from Kigali City","2026","Frontiers in Public Health","14","","1795680","","","0","10.3389/fpubh.2026.1795680","https://www.scopus.com/pages/publications/105042358174?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105042358174"
"Simuziya N.J.","Simuziya, Nsama Jonathan (57314814000)","57314814000","A Juxtaposed Analysis of the Challenges and Prospects of Attaining Universal Human Rights in African Polities","2026","International Journal on Minority and Group Rights","33","1","","177","203","0","10.1163/15718115-bja10204","https://www.scopus.com/pages/publications/85216254220?origin=resultslist","Review","Final","","Scopus","2-s2.0-85216254220"
"Maliva R.; Wallis M.; Law L.","Maliva, Robert (6701911301); Wallis, Monica (60565599900); Law, Logan (60565525800)","6701911301; 60565599900; 60565525800","Reclaimed Water ASR in a Sand-and-Gravel Aquifer: Destin Water Users System (Florida, USA) †","2026","Water (Switzerland)","18","6","722","","","0","10.3390/w18060722","https://www.scopus.com/pages/publications/105035055049?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105035055049"
"Wang R.; Zhao Y.; Zhu G.","Wang, Rui (59445867000); Zhao, Yang (57226709515); Zhu, Guangcan (8644888600)","59445867000; 57226709515; 8644888600","Electrode–microbe–catalyst triple coupling for efficient nitrogen conversion and recovery in wastewater","2026","Journal of Environmental Chemical Engineering","14","1","121091","","","0","10.1016/j.jece.2026.121091","https://www.scopus.com/pages/publications/105027404754?origin=resultslist","Review","Final","","Scopus","2-s2.0-105027404754"
"Dinsa H.T.; Nurhusein M.M.","Dinsa, Hawinet Teso (58521686600); Nurhusein, Mebruk Mohammed (58521430100)","58521686600; 58521430100","A systems thinking approach to operationalizing integrated water resources management in Ethiopia through leverage points and feedback loops","2026","Discover Sustainability","7","1","733","","","0","10.1007/s43621-026-03103-1","https://www.scopus.com/pages/publications/105039421668?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105039421668"
"Glavanits J.; Fényes Z.","Glavanits, Judit (57219257277); Fényes, Zsolt (60710649500)","57219257277; 60710649500","Beyond “Potty Parity”: Public Toilets, Gendered Time Costs, and Institutional Accountability in Everyday Mobility","2026","Laws","15","3","55","","","0","10.3390/laws15030055","https://www.scopus.com/pages/publications/105042872695?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105042872695"
"Chimatiro C.S.; Mianda S.; Hajison P.; Lembani M.","Chimatiro, Chancy Skenard (57203945163); Mianda, Solange (57200552995); Hajison, Precious (57194692025); Lembani, Martina (56884603800)","57203945163; 57200552995; 57194692025; 56884603800","Health system strategies and responses to the effects of Climate Change in Sub-Saharan Africa: A scoping review","2026","PLOS ONE","21","6 June","e0349448","","","0","10.1371/journal.pone.0349448","https://www.scopus.com/pages/publications/105042352876?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105042352876"
"Pandey S.; Acharya S.; Bhandari S.; Running K.","Pandey, Subash (60705993400); Acharya, Suman (57215577176); Bhandari, Sabina (58126902800); Running, Katrina (55653771100)","60705993400; 57215577176; 58126902800; 55653771100","Effectiveness and equity of local climate adaptation: Evidence from a comparative LAPA case study in rural Nepal","2026","Regional Environmental Change","26","3","140","","","1","10.1007/s10113-026-02624-9","https://www.scopus.com/pages/publications/105042686026?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105042686026"
"de Biase C.; Napolitano A.; Redouane Z.; Menna D.","de Biase, Claudia (57202351559); Napolitano, Antonetta (60002324100); Redouane, Zomorrouda (60002509600); Menna, Daniela (60002509700)","57202351559; 60002324100; 60002509600; 60002509700","Urban and Valuation Aspects of an Illegal Neighborhood: The Case of Campo Sorbo in Ancient Capua","2026","Lecture Notes in Computer Science","15897 LNCS","","","459","482","0","10.1007/978-3-031-97660-5_30","https://www.scopus.com/pages/publications/105010824346?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105010824346"
"Sosnowska-Sienkiewicz P.; Łohynowicz A.; Januszkiewicz-Lewandowska D.","Sosnowska-Sienkiewicz, Patrycja (57221003204); Łohynowicz, Anna (60798026000); Januszkiewicz-Lewandowska, Danuta (6602679067)","57221003204; 60798026000; 6602679067","Clinical guidelines for the management of cytostatic extravasation in children","2026","Wspolczesna Onkologia","30","2","","103","109","0","10.5114/wo.2026.163773","https://www.scopus.com/pages/publications/105047767129?origin=resultslist","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105047767129"
"Paclauna Y.M.; Mancilla G.B.; Jara O.B.E.; Ganding J.A.; Ng N.C.-S.; Chan S.W.S.","Paclauna, Ysaren Mae (60731402700); Mancilla, Gabrielle Bennet (60731509000); Jara, Onikka Bernice E. (60731611600); Ganding, Jomar Adams (60515575800); Ng, Nancy Choon-Si (59760476300); Chan, Shealtiel William S. (57812983800)","60731402700; 60731509000; 60731611600; 60515575800; 59760476300; 57812983800","Wastewater-based epidemiology for early detection of viral outbreaks: Global evidence and insights from the Philippines","2026","Asian Journal of Water, Environment and Pollution","23","3","025460351","","","1","10.36922/AJWEP025460351","https://www.scopus.com/pages/publications/105044127077?origin=resultslist","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105044127077"
"Laaser U.; Karabasil N.; Wenzel H.; Bjegović Mikanović V.","Laaser, Ulrich (7005289486); Karabasil, Nedjeljko (57218216272); Wenzel, Helmut (57194147519); Bjegović Mikanović, Vesna (55848108800)","7005289486; 57218216272; 57194147519; 55848108800","Dynamising One Health Through a Structured Global Networking Model","2026","Veterinary Sciences","13","7","720","","","0","10.3390/vetsci13070720","https://www.scopus.com/pages/publications/105045944875?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105045944875"
"Jacob J.H.; Kotzebue J.R.","Jacob, Jabari Hollis (60478968100); Kotzebue, Julia R. (36157969000)","60478968100; 36157969000","Sustainable development goal 11.1 in the Caribbean: assessing informal settlement upgrading in Trinidad and Tobago","2026","Frontiers in Sustainable Cities","8","","1731817","","","0","10.3389/frsc.2026.1731817","https://www.scopus.com/pages/publications/105032563970?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105032563970"
"Rajasekaran N.K.; Ashok C.; Jeyabalan S.; Veeraraghavan G.; Subramaniyan V.; S D.D.P.; Wong L.S.; Sekar M.; Jaganathan R.","Rajasekaran, Naveen Kumar (60000324000); Ashok, Chetan (58308817300); Jeyabalan, Srikanth (57191287817); Veeraraghavan, Gayathri (60745320700); Subramaniyan, Vetriselvan (56721233900); S, Devaraja Dravida Pandiyan (59918856500); Wong, Ling Shing (55819849800); Sekar, Mahendran (36080944800); Jaganathan, Ravindran (54585299400)","60000324000; 58308817300; 57191287817; 60745320700; 56721233900; 59918856500; 55819849800; 36080944800; 54585299400","Persistent lead neurotoxicity as a consequence of global regulatory failure and trade-driven exposure inequities","2026","Discover public health","23","1","1186","","","0","10.1186/s12982-026-02436-6","https://www.scopus.com/pages/publications/105045052083?origin=resultslist","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105045052083"
"Leite J.; Carmo C.; Correia G.","Leite, Joaquim (57223243183); Carmo, Cecília (57438070600); Correia, Gastão (60761082500)","57223243183; 57438070600; 60761082500","Enhancing Efficiency in Urban Water Services: Applying the Balanced Scorecard to the Portuguese Municipal Company AEP","2026","IBIMA Business Review","2026","","765158","","","0","10.5171/2026.765158","https://www.scopus.com/pages/publications/105045895145?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105045895145"
"Gori A.; Garretto V.; Vannucci P.; Liuzzo G.; Munaò G.; Tinacci L.; Nuvoloni R.; Armani A.","Gori, Andrea (59255856800); Garretto, Valentina (60418049700); Vannucci, Paola (60418379800); Liuzzo, Gaetano (7003774021); Munaò, Giovanni (58941454600); Tinacci, Lara (36946310500); Nuvoloni, Roberta (6505981510); Armani, Andrea (6602240100)","59255856800; 60418049700; 60418379800; 7003774021; 58941454600; 36946310500; 6505981510; 6602240100","A Structured Analytical Framework to Facilitate EU Food Exports to the USA: A Case Study Analyzing Barriers and Support Strategies","2026","Foods","15","4","761","","","0","10.3390/foods15040761","https://www.scopus.com/pages/publications/105031261354?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031261354"
"Gusti A.; Djafri D.","Gusti, Aria (57202148178); Djafri, Defriman (56582131600)","57202148178; 56582131600","Baseline assessment of waste management practices and opportunities for smart waste technologies in traditional markets in Indonesia","2026","Frontiers in public health","14","","","1829762","","1","10.3389/fpubh.2026.1829762","https://www.scopus.com/pages/publications/105042939801?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105042939801"
"Ezenwaka U.; Ojiakor I.; Okeke C.; Nwankwo J.; Onwujekwe O.","Ezenwaka, Uchenna (57211752148); Ojiakor, Iheomimichineke (59173984200); Okeke, Chinyere (57195680787); Nwankwo, Joseph (60513203400); Onwujekwe, Obinna (7003992855)","57211752148; 59173984200; 57195680787; 60513203400; 7003992855","Exploring demand and supply-side barriers to safe water, sanitation, and hygiene services in urban slums in southeast Nigeria","2026","Discover public health","23","1","331","","","0","10.1186/s12982-026-01725-4","https://www.scopus.com/pages/publications/105033487263?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033487263"
"Dipura R.","Dipura, Romeo (57222338401)","57222338401","Heterogeneous sanitation infrastructure and the governance of trade-offs in Cape Town: A critical institutionalist perspective","2026","Journal of Urban Management","15","3","","1008","1023","1","10.1016/j.jum.2026.01.006","https://www.scopus.com/pages/publications/105029052639?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029052639"
"Shayo G.M.; Ligate F.J.","Shayo, Godfrey Michael (58848521300); Ligate, Fanuel Josephat (57193829134)","58848521300; 57193829134","The burden of waterborne diseases: a review of cholera and giardiasis associated with contaminated groundwater in developing countries","2026","Journal of Hazardous Materials Advances","23","","101290","","","0","10.1016/j.hazadv.2026.101290","https://www.scopus.com/pages/publications/105041991137?origin=resultslist","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041991137"
"Sharma L.; Singh S.; Anand A.; Thakur P.","Sharma, Lokeshwer (59467198000); Singh, Sandeep (60575959500); Anand, Abhineet (56159814200); Thakur, Prerna (60773921700)","59467198000; 60575959500; 56159814200; 60773921700","Intelligent Water Infrastructure and Policy Programs for Sustainability","2026","Smart Technologies for Water Sustainability and Policy","","","","192","206","0","10.1201/9781003742227-12","https://www.scopus.com/pages/publications/105046460906?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105046460906"
"Sinharoy S.S.; Xia D.; Patrick M.; McManus S.; Chipungu J.; Reddy Y.M.; Ahmed T.; Mink T.; Pan Y.; Bhan T.; Conrad A.; Caruso B.A.","Sinharoy, Sheela S. (57190564740); Xia, Derun (59216919700); Patrick, Madeleine (57225050851); McManus, Shauna (57208281327); Chipungu, Jenala (57188875253); Reddy, Y. Malini (58606914300); Ahmed, Tanvir (59704491100); Mink, Thea (59217065100); Pan, Yuzhou (59217355400); Bhan, Tanushree (57665792700); Conrad, Amelia (57225039330); Caruso, Bethany A. (36940904600)","57190564740; 59216919700; 57225050851; 57208281327; 57188875253; 58606914300; 59704491100; 59217065100; 59217355400; 57665792700; 57225039330; 36940904600","The Agency, Resources, and Institutional Structures for Sanitation-related Empowerment (ARISE) scales: Psychometric evaluation across eight cities in Asia and Africa","2026","PLOS Water","5","6 June","e0000555","","","0","10.1371/journal.pwat.0000555","https://www.scopus.com/pages/publications/105041050739?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041050739"
"Khalid R.B.; Buhari J.; Rosli M.I.; Idris M.I.; Abdullah S.R.S.","Khalid, Rostam Bin (59932327700); Buhari, Junaidah (55982870400); Rosli, Masli Irwan (36161293700); Idris, Mohd Idzat (56785419200); Abdullah, Siti Rozaimah Sheikh (36953938000)","59932327700; 55982870400; 36161293700; 56785419200; 36953938000","Water Security Management in Malaysia: Challenges, Technological Innovations, and Strategic Lessons from Global Practice","2026","Water, Air, and Soil Pollution","237","9","509","","","0","10.1007/s11270-026-09201-0","https://www.scopus.com/pages/publications/105029470302?origin=resultslist","Review","Final","","Scopus","2-s2.0-105029470302"
"Dwivedi A.K.; De K.","Dwivedi, Arvind Kumar (55322369800); De, Kritish (57211006038)","55322369800; 57211006038","Reclaiming Blue: Confronting the Global Freshwater Crisis Through Collective Action","2026","National Academy Science Letters","","","","","","2","10.1007/s40009-026-02132-8","https://www.scopus.com/pages/publications/105035343933?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105035343933"
"Ribeiro F.W.; de Aquino Cabral A.C.; dos Santos S.M.; Guimarães D.B.","Ribeiro, Francisco Wellington (57223240441); de Aquino Cabral, Augusto Cézar (57200102768); dos Santos, Sandra Maria (35184996400); Guimarães, Daniel Barboza (56938247600)","57223240441; 57200102768; 35184996400; 56938247600","Does cooperation pay off over time? Evidence from water and wastewater services","2026","Utilities Policy","103","","102306","","","0","10.1016/j.jup.2026.102306","https://www.scopus.com/pages/publications/105047658175?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105047658175"
"Moon H.; Oh M.; Kang H.; Choi H.","Moon, Heeseok (60310133600); Oh, Myoungjin (57204122448); Kang, Hyeongsik (8699816100); Choi, Hyunhong (57192874505)","60310133600; 57204122448; 8699816100; 57192874505","Firms’ willingness to pay for an integrated desalination-based high-purity industrial water service under a centralized supply system: Evidence from South Korea","2026","Utilities Policy","102","","102285","","","0","10.1016/j.jup.2026.102285","https://www.scopus.com/pages/publications/105045268869?origin=resultslist","Article","Final","","Scopus","2-s2.0-105045268869"
"Ralehike M.M.; Mulaudzi F.M.; Sepeng N.V.; Nyandeni S.","Ralehike, Makhotso M. (60413843400); Mulaudzi, Fhumulani M. (57202645711); Sepeng, Nombulelo V. (57201280339); Nyandeni, Sinethemba (58849059000)","60413843400; 57202645711; 57201280339; 58849059000","Assessing existing infection prevention and control measures used by nurses in water-scarce healthcare in a global setting: A scoping review","2026","African Journal of Primary Health Care and Family Medicine","18","1","a5429","","","0","10.4102/phcfm.v18i1.5429","https://www.scopus.com/pages/publications/105044353920?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105044353920"
"Lindt K.","Lindt, Katharina (60418840600)","60418840600","Community-based to centralized provision: the transformation of aflaj beyond Oman’s national drinking water strategy","2026","International Journal of Water Resources Development","42","4","","476","496","0","10.1080/07900627.2026.2649586","https://www.scopus.com/pages/publications/105035597773?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105035597773"
"García-López M.; López-Ruiz S.; Cuadrado-Quesada G.","García-López, Marcos (57216885540); López-Ruiz, Samara (57213172451); Cuadrado-Quesada, Gabriela (56399344400)","57216885540; 57213172451; 56399344400","Does Economic Growth Drive Equitable Water and Sanitation Access? Assessing Inequality Reduction Across 64 Nations","2026","Sustainable Development","","","","","","0","10.1002/sd.70894","https://www.scopus.com/pages/publications/105032480418?origin=resultslist","Article","Article in press","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105032480418"
"Brum M.; Pathiraja V.; Haddadi M.; Saraswath L.; Kurmi O.; Rathnayake N.; Eleje G.U.; Mbwele B.; Ikwuka D.C.; Mitra P.K.; Nguyen N.T.; Wijamuni N.; Benetti-Pinto C.; Tweneboah-Koduah F.; Martyn-Dickens C.; Mintah-Afful N.; Kemp H.F.; Shi J.Q.; Elneil S.; Phiri P.; Delanerolle G.","Brum, Matheus (60792975800); Pathiraja, Vindya (58055233200); Haddadi, Mohammad (58348818300); Saraswath, Lucky (59503529700); Kurmi, Om (23389886800); Rathnayake, Nirmala (57202504764); Eleje, George Uchenna (35791630500); Mbwele, Bernard (55487128600); Ikwuka, David Chibuike (57215845828); Mitra, Pradip K. (60135736600); Nguyen, Nhan Thi (57226342800); Wijamuni, Nimesha (60520396200); Benetti-Pinto, Cristina (6506576334); Tweneboah-Koduah, Fred (60135736500); Martyn-Dickens, Charles (57220174650); Mintah-Afful, Nana (60413657400); Kemp, Helen Felicity (58755293800); Shi, Jian Qing (55326088300); Elneil, Sohier (12775353100); Phiri, Peter (24778536400); Delanerolle, Gayathri (57221806524)","60792975800; 58055233200; 58348818300; 59503529700; 23389886800; 57202504764; 35791630500; 55487128600; 57215845828; 60135736600; 57226342800; 60520396200; 6506576334; 60135736500; 57220174650; 60413657400; 58755293800; 55326088300; 12775353100; 24778536400; 57221806524","Brazil's national menstrual health program–Progress, gaps, and pathways to equity: A concept note (PLATO WP1)","2026","International Journal of Gynecology and Obstetrics","","","","","","0","10.1002/ijgo.71231","https://www.scopus.com/pages/publications/105047507098?origin=resultslist","Review","Article in press","","Scopus","2-s2.0-105047507098"
"Koros J.K.; Juuti P.S.; Juuti R.P.; Mutie J.","Koros, Japheth K. (57545073700); Juuti, Petri S. (8833481200); Juuti, Riikka P. (57222474651); Mutie, Jamlick (60045979600)","57545073700; 8833481200; 57222474651; 60045979600","Accelerating Safe Water and Sanitation Access in Urban Periphery and Low-Income Areas: The Case of Kenya","2026","Public Works Management and Policy","31","2","","172","199","1","10.1177/1087724X251356460","https://www.scopus.com/pages/publications/105013366069?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013366069"
"Gallegos A.; Grigg N.S.; Llano W.","Gallegos, Armando (60429105500); Grigg, Neil S. (7005653169); Llano, Wendy (60428717600)","60429105500; 7005653169; 60428717600","Enablers and Obstacles in Integrated Water Resources Management (IWRM) Implementation and Their Contributions to Sustainable Territorial Development","2026","Land","15","2","270","","","0","10.3390/land15020270","https://www.scopus.com/pages/publications/105031510634?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105031510634"
"Pierce G.; Downs K.; El-Khattabi A.R.; Levine L.","Pierce, Gregory (55378453800); Downs, Kristen (14038704200); El-Khattabi, Ahmed Rachid (57209883455); Levine, Lawrence (60704820200)","55378453800; 14038704200; 57209883455; 60704820200","Water utility residential customer disconnections and sociodemographic effects from across pandemic-era policy shifts: Evidence from New Jersey","2026","Utilities Policy","102","","102263","","","0","10.1016/j.jup.2026.102263","https://www.scopus.com/pages/publications/105042611704?origin=resultslist","Article","Final","","Scopus","2-s2.0-105042611704"
